player_id,full_name,position,team,team_full_name,jersey_number,birth_city,birth_state_province,birth_country_code,birth_country,birthdate,nationality,height,weight_lbs,birth_lat,birth_lon,headshot_url,arena_name,arena_lat,arena_lon
8484153,Leo Carlsson,C,ANA,Anaheim Ducks,91,Karlstad,,SWE,Sweden,2004-12-26,,"6'3""",208,59.3809146,13.5027631,https://assets.nhle.com/mugs/nhl/20252026/ANA/8484153.png,Honda Center,33.8078,-117.8765
8483444,Nathan Gaucher,C,ANA,Anaheim Ducks,41,Chambly,Quebec,CAN,Canada,2003-11-06,,"6'3""",226,45.4483467,-73.2936944,https://assets.nhle.com/mugs/nhl/20252026/ANA/8483444.png,Honda Center,33.8078,-117.8765
8483445,Cutter Gauthier,L,ANA,Anaheim Ducks,61,Skelleftea,,SWE,Sweden,2004-01-19,,"6'2""",205,64.7520185,20.959339,https://assets.nhle.com/mugs/nhl/20252026/ANA/8483445.png,Honda Center,33.8078,-117.8765
8475798,Mikael Granlund,C,ANA,Anaheim Ducks,64,Oulu,,FIN,Finland,1992-02-26,,"5'10""",193,65.0117914,25.4701973,https://assets.nhle.com/mugs/nhl/20252026/ANA/8475798.png,Honda Center,33.8078,-117.8765
8478424,Jansen Harkins,C,ANA,Anaheim Ducks,24,Cleveland,Ohio,USA,United States,1997-05-23,,"6'1""",197,41.4996574,-81.6936772,https://assets.nhle.com/mugs/nhl/20252026/ANA/8478424.png,Honda Center,33.8078,-117.8765
8477527,Ross Johnston,L,ANA,Anaheim Ducks,44,Charlottetown,Prince Edward Island,CAN,Canada,1994-02-18,,"6'5""",232,46.2594778,-63.1406638,https://assets.nhle.com/mugs/nhl/20252026/ANA/8477527.png,Honda Center,33.8078,-117.8765
8473986,Alex Killorn,L,ANA,Anaheim Ducks,17,Halifax,Nova Scotia,CAN,Canada,1989-09-14,,"6'1""",205,44.648618,-63.5859487,https://assets.nhle.com/mugs/nhl/20252026/ANA/8473986.png,Honda Center,33.8078,-117.8765
8475184,Chris Kreider,L,ANA,Anaheim Ducks,20,Boxford,Massachusetts,USA,United States,1991-04-30,,"6'3""",232,42.6605844,-70.9971204,https://assets.nhle.com/mugs/nhl/20252026/ANA/8475184.png,Honda Center,33.8078,-117.8765
8482745,Mason McTavish,C,ANA,Anaheim Ducks,23,Zurich,,CHE,Switzerland,2003-01-30,,"6'1""",219,47.3744489,8.5410422,https://assets.nhle.com/mugs/nhl/20252026/ANA/8482745.png,Honda Center,33.8078,-117.8765
8480068,Ryan Poehling,C,ANA,Anaheim Ducks,25,Lakeville,Minnesota,USA,United States,1999-01-03,,"6'2""",206,44.650051,-93.2432791,https://assets.nhle.com/mugs/nhl/20252026/ANA/8480068.png,Honda Center,33.8078,-117.8765
