player_id,full_name,position,season,jersey_number,birth_city,birth_state_province,birth_country_code,birth_country,birthdate,nationality,height,weight_lbs,birth_lat,birth_lon,headshot_url,games_played,goals,assists,points,plus_minus,pim,wins,losses,goals_against_avg,save_pct,shutouts
8445044,Billy Bell,C,19171918,9,Lachine,Quebec,CAN,Canada,1891-06-10,,"5'10""",180,45.435114,-73.6837987,https://assets.nhle.com/mugs/nhl/latest/8445044.png,9,1,0,1,0,6,,,,,
8445071,Louis Berlinquette,L,19171918,6,Papineau,Quebec,CAN,Canada,1887-05-26,,"5'11""",175,45.5479932,-73.6193194,https://assets.nhle.com/mugs/nhl/latest/8445071.png,22,2,1,3,0,12,,,,,
8445571,Bert Corbeau,D,19171918,2,Penetanguishene,Ontario,CAN,Canada,1894-02-09,,"5'11""",200,44.7688035,-79.9339487,https://assets.nhle.com/mugs/nhl/latest/8445571.png,23,9,8,17,0,55,,,,,
8445744,Billy Coutu,D,19171918,3,North Bay,Ontario,CAN,Canada,1892-03-01,,"5'11""",190,46.3092115,-79.4607617,https://assets.nhle.com/mugs/nhl/latest/8445744.png,22,2,2,4,0,52,,,,,
8446669,Joe Hall,D,19171918,3,Staffordshire,,GBR,United Kingdom,1882-05-03,,"5'10""",175,52.8246942,-2.0074547,https://assets.nhle.com/mugs/nhl/latest/8446669.png,23,8,8,16,0,112,,,,,
8447289,Newsy Lalonde,C,19171918,4,Cornwall,Ontario,CAN,Canada,1888-10-31,,"5'9""",168,45.0208647,-74.7305541,https://assets.nhle.com/mugs/nhl/latest/8447289.png,16,27,9,36,0,68,,,,,
8447348,Jack Laviolette,D,19171918,6,Belleville,Ontario,CAN,Canada,1879-07-27,,"5'11""",170,44.1633264,-77.3852556,https://assets.nhle.com/mugs/nhl/latest/8447348.png,20,2,1,3,0,6,,,,,
8447594,Joe Malone,C,19171918,11,Quebec City,Quebec,CAN,Canada,1890-02-28,,"5'10""",150,46.7929701,-71.3845987,https://assets.nhle.com/mugs/nhl/latest/8447594.png,22,45,4,49,0,33,,,,,
8447761,Jack McDonald,L,19171918,6,Quebec City,Quebec,CAN,Canada,1887-02-28,,"5'10""",154,46.7929701,-71.3845987,https://assets.nhle.com/mugs/nhl/latest/8447761.png,15,13,2,15,0,15,,,,,
8448119,Evariste Payer,C,19171918,12,Rockland,Ontario,CAN,Canada,1887-12-12,,"5'6""",150,45.5247978,-75.2607533,https://assets.nhle.com/mugs/nhl/latest/8448119.png,1,0,0,0,0,0,,,,,
8448154,Didier Pitre,R,19171918,5,Valleyfield,Quebec,CAN,Canada,1883-09-01,,"5'11""",185,45.2555575,-74.1316718,https://assets.nhle.com/mugs/nhl/latest/8448154.png,22,17,9,26,0,42,,,,,
8450137,Georges Vezina,G,19171918,1,Chicoutimi,Quebec,CAN,Canada,1887-01-21,,"5'6""",185,48.4286352,-71.0637121,https://assets.nhle.com/mugs/nhl/latest/8450137.png,23,,,,,,13,10,4.024,0.0,1
8444956,Amos Arbour,L,19181919,4,Waubaushene,Ontario,CAN,Canada,1895-01-26,,"5'8""",160,44.754404,-79.710969,https://assets.nhle.com/mugs/nhl/latest/8444956.png,1,0,0,0,0,3,,,,,
8445044,Billy Bell,C,19181919,9,Lachine,Quebec,CAN,Canada,1891-06-10,,"5'10""",180,45.435114,-73.6837987,https://assets.nhle.com/mugs/nhl/latest/8445044.png,1,0,0,0,0,0,,,,,
8445071,Louis Berlinquette,L,19181919,6,Papineau,Quebec,CAN,Canada,1887-05-26,,"5'11""",175,45.5479932,-73.6193194,https://assets.nhle.com/mugs/nhl/latest/8445071.png,28,6,8,14,0,21,,,,,
8445496,Odie Cleghorn,R,19181919,7,Montréal,Quebec,CAN,Canada,1891-09-19,,"5'9""",195,45.5031824,-73.5698065,https://assets.nhle.com/mugs/nhl/latest/8445496.png,28,30,7,37,0,42,,,,,
8445571,Bert Corbeau,D,19181919,2,Penetanguishene,Ontario,CAN,Canada,1894-02-09,,"5'11""",200,44.7688035,-79.9339487,https://assets.nhle.com/mugs/nhl/latest/8445571.png,26,3,5,8,0,74,,,,,
8445744,Billy Coutu,D,19181919,3,North Bay,Ontario,CAN,Canada,1892-03-01,,"5'11""",190,46.3092115,-79.4607617,https://assets.nhle.com/mugs/nhl/latest/8445744.png,26,1,4,5,0,26,,,,,
8445914,Fred Doherty,R,19181919,11,Norwood,Ontario,CAN,Canada,1887-08-15,,"5'8""",160,44.3366441,-78.0103615,https://assets.nhle.com/mugs/nhl/latest/8445914.png,2,0,0,0,0,0,,,,,
8446669,Joe Hall,D,19181919,3,Staffordshire,,GBR,United Kingdom,1882-05-03,,"5'10""",175,52.8246942,-2.0074547,https://assets.nhle.com/mugs/nhl/latest/8446669.png,26,7,2,9,0,162,,,,,
8447289,Newsy Lalonde,C,19181919,4,Cornwall,Ontario,CAN,Canada,1888-10-31,,"5'9""",168,45.0208647,-74.7305541,https://assets.nhle.com/mugs/nhl/latest/8447289.png,27,40,11,51,0,60,,,,,
8447594,Joe Malone,C,19181919,11,Quebec City,Quebec,CAN,Canada,1890-02-28,,"5'10""",150,46.7929701,-71.3845987,https://assets.nhle.com/mugs/nhl/latest/8447594.png,13,12,4,16,0,6,,,,,
8447761,Jack McDonald,L,19181919,6,Quebec City,Quebec,CAN,Canada,1887-02-28,,"5'10""",154,46.7929701,-71.3845987,https://assets.nhle.com/mugs/nhl/latest/8447761.png,28,9,8,17,0,12,,,,,
8448154,Didier Pitre,R,19181919,5,Valleyfield,Quebec,CAN,Canada,1883-09-01,,"5'11""",185,45.2555575,-74.1316718,https://assets.nhle.com/mugs/nhl/latest/8448154.png,27,16,10,26,0,21,,,,,
8450137,Georges Vezina,G,19181919,1,Chicoutimi,Quebec,CAN,Canada,1887-01-21,,"5'6""",185,48.4286352,-71.0637121,https://assets.nhle.com/mugs/nhl/latest/8450137.png,28,,,,,,16,11,3.991,0.0,2
8444956,Amos Arbour,L,19191920,4,Waubaushene,Ontario,CAN,Canada,1895-01-26,,"5'8""",160,44.754404,-79.710969,https://assets.nhle.com/mugs/nhl/latest/8444956.png,22,21,4,25,0,13,,,,,
8445071,Louis Berlinquette,L,19191920,6,Papineau,Quebec,CAN,Canada,1887-05-26,,"5'11""",175,45.5479932,-73.6193194,https://assets.nhle.com/mugs/nhl/latest/8445071.png,24,8,8,16,0,36,,,,,
8445314,Harry Cameron,D,19191920,2,Pembroke,Ontario,CAN,Canada,1890-02-06,,"5'10""",155,45.8260909,-77.113541,https://assets.nhle.com/mugs/nhl/latest/8445314.png,23,15,6,21,0,35,,,,,
8445496,Odie Cleghorn,R,19191920,7,Montréal,Quebec,CAN,Canada,1891-09-19,,"5'9""",195,45.5031824,-73.5698065,https://assets.nhle.com/mugs/nhl/latest/8445496.png,21,20,4,24,0,30,,,,,
8445571,Bert Corbeau,D,19191920,2,Penetanguishene,Ontario,CAN,Canada,1894-02-09,,"5'11""",200,44.7688035,-79.9339487,https://assets.nhle.com/mugs/nhl/latest/8445571.png,23,11,3,14,0,65,,,,,
8445740,Jack Coughlin,R,19191920,12,Douro,Ontario,CAN,Canada,1892-06-06,,"5'10""",170,44.4502138,-78.1052348,https://assets.nhle.com/mugs/nhl/latest/8445740.png,12,0,0,0,0,0,,,,,
8445744,Billy Coutu,D,19191920,3,North Bay,Ontario,CAN,Canada,1892-03-01,,"5'11""",190,46.3092115,-79.4607617,https://assets.nhle.com/mugs/nhl/latest/8445744.png,20,4,0,4,0,65,,,,,
8447289,Newsy Lalonde,C,19191920,4,Cornwall,Ontario,CAN,Canada,1888-10-31,,"5'9""",168,45.0208647,-74.7305541,https://assets.nhle.com/mugs/nhl/latest/8447289.png,23,37,10,47,0,34,,,,,
8447815,Howard McNamara,D,19191920,5,Randolph,Ontario,CAN,Canada,1893-08-03,,"6'0""",240,43.6635654,-79.4109113,https://assets.nhle.com/mugs/nhl/latest/8447815.png,10,1,0,1,0,4,,,,,
8448154,Didier Pitre,R,19191920,5,Valleyfield,Quebec,CAN,Canada,1883-09-01,,"5'11""",185,45.2555575,-74.1316718,https://assets.nhle.com/mugs/nhl/latest/8448154.png,22,14,12,26,0,6,,,,,
8449072,Don Smith,L,19191920,12,Cornwall,Ontario,CAN,Canada,1888-06-03,,"5'7""",160,45.0208647,-74.7305541,https://assets.nhle.com/mugs/nhl/latest/8449072.png,12,1,0,1,0,6,,,,,
8450137,Georges Vezina,G,19191920,1,Chicoutimi,Quebec,CAN,Canada,1887-01-21,,"5'6""",185,48.4286352,-71.0637121,https://assets.nhle.com/mugs/nhl/latest/8450137.png,24,,,,,,13,11,4.658,0.0,0
